sample_id,dataset,drug_id,drug_name,cell_context,cell_type,cell_line,tissue,batch,dose,time,condition,control_sample_id,source_file,source_split,split,control
"B cells, TGX 221",openproblems_neurips2023,TGX 221,TGX 221,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, TGX 221",openproblems_neurips2023,TGX 221,TGX 221,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, TGX 221",openproblems_neurips2023,TGX 221,TGX 221,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, TGX 221",openproblems_neurips2023,TGX 221,TGX 221,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Pitavastatin Calcium",openproblems_neurips2023,Pitavastatin Calcium,Pitavastatin Calcium,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, Pitavastatin Calcium",openproblems_neurips2023,Pitavastatin Calcium,Pitavastatin Calcium,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Pitavastatin Calcium",openproblems_neurips2023,Pitavastatin Calcium,Pitavastatin Calcium,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Pitavastatin Calcium",openproblems_neurips2023,Pitavastatin Calcium,Pitavastatin Calcium,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, ABT737",openproblems_neurips2023,ABT737,ABT737,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, ABT737",openproblems_neurips2023,ABT737,ABT737,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, ABT737",openproblems_neurips2023,ABT737,ABT737,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, ABT737",openproblems_neurips2023,ABT737,ABT737,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, PRT-062607",openproblems_neurips2023,PRT-062607,PRT-062607,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, PRT-062607",openproblems_neurips2023,PRT-062607,PRT-062607,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, PRT-062607",openproblems_neurips2023,PRT-062607,PRT-062607,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, PRT-062607",openproblems_neurips2023,PRT-062607,PRT-062607,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, AZ628",openproblems_neurips2023,AZ628,AZ628,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, AZ628",openproblems_neurips2023,AZ628,AZ628,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, AZ628",openproblems_neurips2023,AZ628,AZ628,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, AZ628",openproblems_neurips2023,AZ628,AZ628,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, AZD-8330",openproblems_neurips2023,AZD-8330,AZD-8330,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, AZD-8330",openproblems_neurips2023,AZD-8330,AZD-8330,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Masitinib",openproblems_neurips2023,Masitinib,Masitinib,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, Masitinib",openproblems_neurips2023,Masitinib,Masitinib,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Masitinib",openproblems_neurips2023,Masitinib,Masitinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Masitinib",openproblems_neurips2023,Masitinib,Masitinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Ceritinib",openproblems_neurips2023,Ceritinib,Ceritinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Ceritinib",openproblems_neurips2023,Ceritinib,Ceritinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, CGM-097",openproblems_neurips2023,CGM-097,CGM-097,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, CGM-097",openproblems_neurips2023,CGM-097,CGM-097,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, SLx-2119",openproblems_neurips2023,SLx-2119,SLx-2119,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, SLx-2119",openproblems_neurips2023,SLx-2119,SLx-2119,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Nefazodone",openproblems_neurips2023,Nefazodone,Nefazodone,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Nefazodone",openproblems_neurips2023,Nefazodone,Nefazodone,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, STK219801",openproblems_neurips2023,STK219801,STK219801,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, STK219801",openproblems_neurips2023,STK219801,STK219801,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, STK219801",openproblems_neurips2023,STK219801,STK219801,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, STK219801",openproblems_neurips2023,STK219801,STK219801,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, TPCA-1",openproblems_neurips2023,TPCA-1,TPCA-1,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, TPCA-1",openproblems_neurips2023,TPCA-1,TPCA-1,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, MGCD-265",openproblems_neurips2023,MGCD-265,MGCD-265,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, MGCD-265",openproblems_neurips2023,MGCD-265,MGCD-265,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, GSK-1070916",openproblems_neurips2023,GSK-1070916,GSK-1070916,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, GSK-1070916",openproblems_neurips2023,GSK-1070916,GSK-1070916,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Ricolinostat",openproblems_neurips2023,Ricolinostat,Ricolinostat,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, Ricolinostat",openproblems_neurips2023,Ricolinostat,Ricolinostat,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Ricolinostat",openproblems_neurips2023,Ricolinostat,Ricolinostat,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Ricolinostat",openproblems_neurips2023,Ricolinostat,Ricolinostat,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Bosutinib",openproblems_neurips2023,Bosutinib,Bosutinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Bosutinib",openproblems_neurips2023,Bosutinib,Bosutinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Clemastine",openproblems_neurips2023,Clemastine,Clemastine,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Clemastine",openproblems_neurips2023,Clemastine,Clemastine,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, YK 4-279",openproblems_neurips2023,YK 4-279,YK 4-279,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, YK 4-279",openproblems_neurips2023,YK 4-279,YK 4-279,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Buspirone",openproblems_neurips2023,Buspirone,Buspirone,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Buspirone",openproblems_neurips2023,Buspirone,Buspirone,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Midostaurin",openproblems_neurips2023,Midostaurin,Midostaurin,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, Midostaurin",openproblems_neurips2023,Midostaurin,Midostaurin,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Midostaurin",openproblems_neurips2023,Midostaurin,Midostaurin,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Midostaurin",openproblems_neurips2023,Midostaurin,Midostaurin,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, CEP-37440",openproblems_neurips2023,CEP-37440,CEP-37440,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, CEP-37440",openproblems_neurips2023,CEP-37440,CEP-37440,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, CEP-37440",openproblems_neurips2023,CEP-37440,CEP-37440,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, CEP-37440",openproblems_neurips2023,CEP-37440,CEP-37440,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, GSK256066",openproblems_neurips2023,GSK256066,GSK256066,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, GSK256066",openproblems_neurips2023,GSK256066,GSK256066,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, R428",openproblems_neurips2023,R428,R428,B cells,B cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"Myeloid cells, R428",openproblems_neurips2023,R428,R428,Myeloid cells,Myeloid cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, R428",openproblems_neurips2023,R428,R428,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Oxybenzone",openproblems_neurips2023,Oxybenzone,Oxybenzone,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, Oxybenzone",openproblems_neurips2023,Oxybenzone,Oxybenzone,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Oxybenzone",openproblems_neurips2023,Oxybenzone,Oxybenzone,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Oxybenzone",openproblems_neurips2023,Oxybenzone,Oxybenzone,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Vandetanib",openproblems_neurips2023,Vandetanib,Vandetanib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Vandetanib",openproblems_neurips2023,Vandetanib,Vandetanib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Imatinib",openproblems_neurips2023,Imatinib,Imatinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Imatinib",openproblems_neurips2023,Imatinib,Imatinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, SCH-58261",openproblems_neurips2023,SCH-58261,SCH-58261,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, SCH-58261",openproblems_neurips2023,SCH-58261,SCH-58261,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Colforsin",openproblems_neurips2023,Colforsin,Colforsin,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Colforsin",openproblems_neurips2023,Colforsin,Colforsin,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Tivantinib",openproblems_neurips2023,Tivantinib,Tivantinib,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, Tivantinib",openproblems_neurips2023,Tivantinib,Tivantinib,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Tivantinib",openproblems_neurips2023,Tivantinib,Tivantinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Tivantinib",openproblems_neurips2023,Tivantinib,Tivantinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Tosedostat",openproblems_neurips2023,Tosedostat,Tosedostat,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Tosedostat",openproblems_neurips2023,Tosedostat,Tosedostat,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Colchicine",openproblems_neurips2023,Colchicine,Colchicine,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, Colchicine",openproblems_neurips2023,Colchicine,Colchicine,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Colchicine",openproblems_neurips2023,Colchicine,Colchicine,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Colchicine",openproblems_neurips2023,Colchicine,Colchicine,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, ABT-199 (GDC-0199)",openproblems_neurips2023,ABT-199 (GDC-0199),ABT-199 (GDC-0199),NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, ABT-199 (GDC-0199)",openproblems_neurips2023,ABT-199 (GDC-0199),ABT-199 (GDC-0199),T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Mometasone Furoate",openproblems_neurips2023,Mometasone Furoate,Mometasone Furoate,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Mometasone Furoate",openproblems_neurips2023,Mometasone Furoate,Mometasone Furoate,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Tipifarnib",openproblems_neurips2023,Tipifarnib,Tipifarnib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Tipifarnib",openproblems_neurips2023,Tipifarnib,Tipifarnib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, BX 912",openproblems_neurips2023,BX 912,BX 912,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, BX 912",openproblems_neurips2023,BX 912,BX 912,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, BX 912",openproblems_neurips2023,BX 912,BX 912,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, BX 912",openproblems_neurips2023,BX 912,BX 912,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Doxorubicin",openproblems_neurips2023,Doxorubicin,Doxorubicin,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Doxorubicin",openproblems_neurips2023,Doxorubicin,Doxorubicin,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, PF-03814735",openproblems_neurips2023,PF-03814735,PF-03814735,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, PF-03814735",openproblems_neurips2023,PF-03814735,PF-03814735,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, AZD4547",openproblems_neurips2023,AZD4547,AZD4547,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, AZD4547",openproblems_neurips2023,AZD4547,AZD4547,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Prednisolone",openproblems_neurips2023,Prednisolone,Prednisolone,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Prednisolone",openproblems_neurips2023,Prednisolone,Prednisolone,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Tacalcitol",openproblems_neurips2023,Tacalcitol,Tacalcitol,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Tacalcitol",openproblems_neurips2023,Tacalcitol,Tacalcitol,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Selumetinib",openproblems_neurips2023,Selumetinib,Selumetinib,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, Selumetinib",openproblems_neurips2023,Selumetinib,Selumetinib,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Selumetinib",openproblems_neurips2023,Selumetinib,Selumetinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Selumetinib",openproblems_neurips2023,Selumetinib,Selumetinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Clotrimazole",openproblems_neurips2023,Clotrimazole,Clotrimazole,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Clotrimazole",openproblems_neurips2023,Clotrimazole,Clotrimazole,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, RG7090",openproblems_neurips2023,RG7090,RG7090,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, RG7090",openproblems_neurips2023,RG7090,RG7090,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, RG7090",openproblems_neurips2023,RG7090,RG7090,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, RG7090",openproblems_neurips2023,RG7090,RG7090,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, GLPG0634",openproblems_neurips2023,GLPG0634,GLPG0634,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, GLPG0634",openproblems_neurips2023,GLPG0634,GLPG0634,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, GLPG0634",openproblems_neurips2023,GLPG0634,GLPG0634,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, GLPG0634",openproblems_neurips2023,GLPG0634,GLPG0634,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Mubritinib (TAK 165)",openproblems_neurips2023,Mubritinib (TAK 165),Mubritinib (TAK 165),NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Mubritinib (TAK 165)",openproblems_neurips2023,Mubritinib (TAK 165),Mubritinib (TAK 165),T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Vanoxerine",openproblems_neurips2023,Vanoxerine,Vanoxerine,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Vanoxerine",openproblems_neurips2023,Vanoxerine,Vanoxerine,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, SB525334",openproblems_neurips2023,SB525334,SB525334,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, SB525334",openproblems_neurips2023,SB525334,SB525334,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, HYDROXYUREA",openproblems_neurips2023,HYDROXYUREA,HYDROXYUREA,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, HYDROXYUREA",openproblems_neurips2023,HYDROXYUREA,HYDROXYUREA,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, TIE2 Kinase Inhibitor",openproblems_neurips2023,TIE2 Kinase Inhibitor,TIE2 Kinase Inhibitor,B cells,B cells,PBMC,blood,de_test:private_test,not_available_in_de_h5ad,24h,treated,,de_test.h5ad,de_test,private_test,False
"Myeloid cells, TIE2 Kinase Inhibitor",openproblems_neurips2023,TIE2 Kinase Inhibitor,TIE2 Kinase Inhibitor,Myeloid cells,Myeloid cells,PBMC,blood,de_test:private_test,not_available_in_de_h5ad,24h,treated,,de_test.h5ad,de_test,private_test,False
"B cells, Lapatinib",openproblems_neurips2023,Lapatinib,Lapatinib,B cells,B cells,PBMC,blood,de_test:private_test,not_available_in_de_h5ad,24h,treated,,de_test.h5ad,de_test,private_test,False
"Myeloid cells, Lapatinib",openproblems_neurips2023,Lapatinib,Lapatinib,Myeloid cells,Myeloid cells,PBMC,blood,de_test:private_test,not_available_in_de_h5ad,24h,treated,,de_test.h5ad,de_test,private_test,False
"B cells, Atorvastatin",openproblems_neurips2023,Atorvastatin,Atorvastatin,B cells,B cells,PBMC,blood,de_test:private_test,not_available_in_de_h5ad,24h,treated,,de_test.h5ad,de_test,private_test,False
