dataset,seed,split_key,split_type,model_name,mean_all_gene_pearson,mean_all_gene_rmse,mean_top50_overlap,mean_top100_overlap,mean_top200_overlap,mean_top50_direction_agreement,mean_top100_direction_agreement,mean_top200_direction_agreement,n_train,n_val,n_test,runtime_seconds
sciplex3_24h_top2000,14,cell_scaffold_heldout,cell_scaffold_heldout,transigen_adapted_sciplex3,0.0179798864578779,1.1478272456941738,0.0280681818181818,0.0728977272727272,0.1235795454545454,0.5135227272727273,0.5259090909090909,0.5186931818181818,1111,111,176,0.0862977504730224
sciplex3_24h_top2000,15,random,random,transigen_adapted_sciplex3,0.2388716664059465,0.0781596628647746,0.1719813519813519,0.1989743589743589,0.2456410256410256,0.6857342657342658,0.6762237762237763,0.6661421911421911,1771,177,429,0.1395328044891357
sciplex3_24h_top2000,15,cell_heldout,cell_heldout,transigen_adapted_sciplex3,0.0118367294353985,0.3106796584180732,0.0753546592489568,0.097635605006954,0.1321418636995827,0.5078164116828929,0.506105702364395,0.5148956884561892,1481,148,719,0.1212868690490722
sciplex3_24h_top2000,15,scaffold_heldout,scaffold_heldout,transigen_adapted_sciplex3,0.1841798712003151,0.0784539128571149,0.167892561983471,0.1883057851239669,0.2298553719008264,0.621900826446281,0.6211570247933885,0.6165805785123967,1716,172,484,0.1365418434143066
sciplex3_24h_top2000,15,cell_scaffold_heldout,cell_scaffold_heldout,transigen_adapted_sciplex3,0.0056529007159838,0.4158017170644743,0.0651282051282051,0.0910897435897435,0.1281730769230769,0.4915384615384615,0.5004487179487179,0.5002243589743589,1153,115,156,0.0956239700317382
sciplex3_24h_top2000,16,random,random,transigen_adapted_sciplex3,0.2503005948235811,0.0816387772922667,0.176743119266055,0.2086238532110091,0.2570642201834863,0.6858256880733945,0.6810091743119265,0.6719954128440367,1764,176,436,0.1494801044464111
sciplex3_24h_top2000,16,cell_heldout,cell_heldout,transigen_adapted_sciplex3,0.0334723674595493,0.5613895321404888,0.0474269819193324,0.0733101529902642,0.1229694019471488,0.5173852573018081,0.5269680111265647,0.5252990264255911,1481,148,719,0.129483938217163
sciplex3_24h_top2000,16,scaffold_heldout,scaffold_heldout,transigen_adapted_sciplex3,0.2373700802803642,0.0921466751358104,0.1914492753623189,0.2145893719806763,0.2576207729468599,0.6658454106280193,0.6645410628019324,0.6560990338164251,1786,179,414,0.1430408954620361
sciplex3_24h_top2000,16,cell_scaffold_heldout,cell_scaffold_heldout,transigen_adapted_sciplex3,0.0354439914156715,0.3821342422969105,0.0550364963503649,0.0851094890510948,0.1371897810218978,0.5277372262773723,0.5220437956204379,0.5247080291970803,1204,120,137,0.0991880893707275
sciplex3_24h_top2000,17,random,random,transigen_adapted_sciplex3,0.2450602874930906,0.0795957432866561,0.1822222222222222,0.2099092970521542,0.2572448979591837,0.6799999999999999,0.6765079365079365,0.6678571428571428,1759,176,441,0.1381847858428955
sciplex3_24h_top2000,17,cell_heldout,cell_heldout,transigen_adapted_sciplex3,0.0003225730840742,0.282533863711063,0.0556328233657858,0.0938108484005563,0.1296870653685674,0.5095966620305981,0.5170792767732962,0.5052851182197496,1481,148,719,0.1242439746856689
sciplex3_24h_top2000,17,scaffold_heldout,scaffold_heldout,transigen_adapted_sciplex3,0.2398201137096319,0.0883629898998198,0.1814318706697459,0.2059584295612009,0.2513163972286374,0.6715011547344111,0.663187066974596,0.6556812933025404,1767,177,433,0.1401138305664062
