dataset,model,model_label,split,seed,n_records,n_gene_sets,mean_pathway_pearson,sd_pathway_pearson,median_pathway_pearson,iqr_pathway_pearson,mean_pathway_rmse,median_pathway_rmse,status,notes
sciplex3_24h_top2000,global_train_mean,Global mean,cell_scaffold_heldout,23,136,39,0.1517093194020951,0.2980626965376577,0.11296880335365792,0.46218279312133276,0.03690630530457754,0.02768901428252349,completed,Reconstructed from train-only mean response vectors.
sciplex3_24h_top2000,ridge_drug_fp,Ridge drug FP,cell_scaffold_heldout,23,136,39,0.08235433905368686,0.2539748850529143,0.03145838562325816,0.34032932818805756,0.04020164845793767,0.03338520635438612,completed,Reconstructed with alpha=10 and training-only feature preprocessing.
sciplex3_24h_top2000,ridge_cell_dose_drug_fp,Ridge cell+dose+drug FP,cell_scaffold_heldout,23,136,39,0.09428509442644095,0.2739144228234948,0.050802066836532246,0.3914766608991137,0.04038031108106589,0.03202757557160274,completed,Reconstructed with alpha=10 and training-only feature preprocessing.
sciplex3_24h_top2000,transigen_adapted_sciplex3,TranSiGen-style,cell_scaffold_heldout,23,136,39,0.047745470607636266,0.23859203245327576,0.10179732242118926,0.39056800020080773,0.14457403185842038,0.1403302152249169,completed,Loaded completed prediction vectors from transigen_seed023_cell_scaffold_heldout.npz.
sciplex3_24h_top2000,prnet_adapted_sciplex3,PRnet-style,cell_scaffold_heldout,23,136,39,-0.03990633684617849,0.29430675584722427,-0.02173534913730808,0.4663890583404729,0.5199914427616741,0.5147493268076417,completed,Loaded completed prediction vectors from prnet_main30_seed023_cell_scaffold_heldout.npz.
sciplex3_24h_top2000,global_train_mean,Global mean,random,24,437,39,0.17163659414433774,0.2828523026519324,0.16353446735142754,0.4351810543584015,0.03314377783777848,0.023155319456497993,completed,Reconstructed from train-only mean response vectors.
sciplex3_24h_top2000,ridge_drug_fp,Ridge drug FP,random,24,437,39,0.2938402070931245,0.30887468611201785,0.30313256537301914,0.4345922165295824,0.03203341341390509,0.024617014460415053,completed,Reconstructed with alpha=10 and training-only feature preprocessing.
sciplex3_24h_top2000,ridge_cell_dose_drug_fp,Ridge cell+dose+drug FP,random,24,437,39,0.3174406330118485,0.30899077476556325,0.32852534925767796,0.4600222987624959,0.03241603502090745,0.025703744003942385,completed,Reconstructed with alpha=10 and training-only feature preprocessing.
sciplex3_24h_top2000,transigen_adapted_sciplex3,TranSiGen-style,random,24,437,39,0.22192887231864872,0.29162516748809364,0.21666370260441462,0.4141237028526014,0.03197430815836796,0.024659516861281535,completed,Loaded completed prediction vectors from transigen_seed024_random.npz.
sciplex3_24h_top2000,prnet_adapted_sciplex3,PRnet-style,random,24,437,39,-0.002640383274760706,0.2082231619885704,0.004505095861831492,0.2761615120308374,0.0740039403603484,0.07489779754159057,completed,Loaded completed prediction vectors from prnet_main30_seed024_random.npz.
